Value,Disaggregation combinations using this value,Number of indicators
San Miguel Amatlán,1,1
San Miguel Chicahua,1,1
San Miguel Chimalapa,1,1
San Miguel Coatlán,1,1
San Miguel del Puerto,1,1
San Miguel del Río,1,1
San Miguel Ejutla,1,1
San Miguel el Grande,1,1
San Miguel Huautla,1,1
San Miguel Mixtepec,1,1
San Miguel Panixtlahuaca,1,1
San Miguel Peras,1,1
San Miguel Piedras,1,1
San Miguel Quetzaltepec,1,1
San Miguel Santa Flor,1,1
San Miguel Soyaltepec,1,1
San Miguel Suchixtepec,1,1
San Miguel Tecomatlán,1,1
San Miguel Tenango,1,1
San Miguel Tequixtepec,1,1
San Miguel Tilquiápam,1,1
San Miguel Tlacamama,1,1
San Miguel Tlacotepec,1,1
San Miguel Tulancingo,1,1
San Miguel Yotao,1,1
San Nicolás Hidalgo,1,1
San Nicolás,1,1
San Pablo Coatlán,1,1
San Pablo Cuatro Venados,1,1
San Pablo Etla,1,1
San Pablo Huitzo,1,1
San Pablo Huixtepec,1,1
San Pablo Macuiltianguis,1,1
San Pablo Tijaltepec,1,1
San Pablo Villa de Mitla,1,1
San Pablo Yaganiza,1,1
San Pedro Amuzgos,1,1
San Pedro Apóstol,1,1
San Pedro Atoyac,1,1
San Pedro Cajonos,1,1
San Pedro Comitancillo,1,1
San Pedro Coxcaltepec Cántaros,1,1
San Pedro el Alto,1,1
San Pedro Huamelula,1,1
San Pedro Huilotepec,1,1
San Pedro Ixcatlán,1,1
San Pedro Ixtlahuaca,1,1
San Pedro Jaltepetongo,1,1
San Pedro Jicayán,1,1
San Pedro Jocotipac,1,1
San Pedro Juchatengo,1,1
San Pedro Mixtepec -Dto. 22 -,1,1
San Pedro Mixtepec -Dto. 26 -,1,1
San Pedro Molinos,1,1
San Pedro Mártir Quiechapa,1,1
San Pedro Mártir Yucuxaco,1,1
San Pedro Mártir,1,1
San Pedro Nopala,1,1
San Pedro Ocopetatillo,1,1
San Pedro Ocotepec,1,1
San Pedro Pochutla,1,1
San Pedro Quiatoni,1,1
San Pedro Sochiápam,1,1
San Pedro Tapanatepec,1,1
San Pedro Taviche,1,1
San Pedro Teozacoalco,1,1
San Pedro Teutila,1,1
San Pedro Tidaá,1,1
San Pedro Topiltepec,1,1
San Pedro Totolápam,1,1
San Pedro y San Pablo Ayutla,1,1
San Pedro y San Pablo Teposcolula,1,1
San Pedro y San Pablo Tequixtepec,1,1
San Pedro Yaneri,1,1
San Pedro Yucunama,1,1
San Pedro Yólox,1,1
San Raymundo Jalpan,1,1
San Sebastián Abasolo,1,1
San Sebastián Coatlán,1,1
San Sebastián Ixcapa,1,1
San Sebastián Nicananduta,1,1
San Sebastián Río Hondo,1,1
San Sebastián Tecomaxtlahuaca,1,1
San Sebastián Teitipac,1,1
San Sebastián Tutla,1,1
San Simón Almolongas,1,1
San Simón Zahuatlán,1,1
San Vicente Coatlán,1,1
San Vicente Lachixío,1,1
San Vicente Nuñú,1,1
Santa Ana Ateixtlahuaca,1,1
Santa Ana Cuauhtémoc,1,1
Santa Ana del Valle,1,1
Santa Ana Tavela,1,1
Santa Ana Tlapacoyan,1,1
Santa Ana Yareni,1,1
Santa Ana Zegache,1,1
Santa Ana,1,1
Santa Catalina Quierí,1,1
Santa Catarina Cuixtla,1,1
Santa Catarina Ixtepeji,1,1
Santa Catarina Juquila,1,1
Santa Catarina Lachatao,1,1
Santa Catarina Loxicha,1,1
Santa Catarina Mechoacán,1,1
Santa Catarina Minas,1,1
Santa Catarina Quiané,1,1
Santa Catarina Quioquitani,1,1
Santa Catarina Tayata,1,1
Santa Catarina Ticuá,1,1
Santa Catarina Yosonotú,1,1
Santa Catarina Zapoquila,1,1
Santa Cruz Acatepec,1,1
Santa Cruz Amilpas,1,1
Santa Cruz de Bravo,1,1
Santa Cruz Itundujia,1,1
Santa Cruz Mixtepec,1,1
Santa Cruz Nundaco,1,1
Santa Cruz Papalutla,1,1
Santa Cruz Tacache de Mina,1,1
Santa Cruz Tacahua,1,1
Santa Cruz Tayata,1,1
Santa Cruz Xitla,1,1
Santa Cruz Xoxocotlán,1,1
Santa Cruz Zenzontepec,1,1
Santa Gertrudis,1,1
Santa Inés de Zaragoza,1,1
Santa Inés del Monte,1,1
Santa Inés Yatzeche,1,1
Santa Lucía del Camino,1,1
Santa Lucía Miahuatlán,1,1
Santa Lucía Monteverde,1,1
Santa Lucía Ocotlán,1,1
Santa Magdalena Jicotlán,1,1
Santa María Alotepec,1,1
Santa María Apazco,1,1
Santa María Atzompa,1,1
Santa María Camotlán,1,1
Santa María Chachoápam,1,1
Santa María Chilchotla,1,1
Santa María Chimalapa,1,1
Santa María Colotepec,1,1
Santa María Cortijo,1,1
Santa María Coyotepec,1,1
Santa María del Rosario,1,1
Santa María del Tule,1,1
Santa María Ecatepec,1,1
Santa María Guelacé,1,1
Santa María Guienagati,1,1
Santa María Huatulco,1,1
Santa María Huazolotitlán,1,1
Santa María Ipalapa,1,1
