Year,Entidad_federativa,Municipio,GeoCode,Value
2008,Ciudad de México,Coyoacán,9003,
2008,Ciudad de México,Cuajimalpa de Morelos,9004,
2008,Ciudad de México,Gustavo A. Madero,9005,
2008,Ciudad de México,Iztacalco,9006,
2008,Ciudad de México,Iztapalapa,9007,
2008,Ciudad de México,La Magdalena Contreras,9008,
2008,Ciudad de México,Milpa Alta,9009,
2008,Ciudad de México,Álvaro Obregón,9010,
2008,Ciudad de México,Tláhuac,9011,
2008,Ciudad de México,Tlalpan,9012,
2008,Ciudad de México,Xochimilco,9013,
2008,Ciudad de México,Benito Juárez,9014,
2008,Ciudad de México,Cuauhtémoc,9015,
2008,Ciudad de México,Miguel Hidalgo,9016,
2008,Ciudad de México,Venustiano Carranza,9017,
2008,Durango,,10,56.65361981
2008,Durango,Canatlán,10001,
2008,Durango,Canelas,10002,
2008,Durango,Coneto de Comonfort,10003,
2008,Durango,Cuencamé,10004,
2008,Durango,Durango,10005,
2008,Durango,General Simón Bolívar,10006,
2008,Durango,Gómez Palacio,10007,
2008,Durango,Guadalupe Victoria,10008,
2008,Durango,Guanaceví,10009,
2008,Durango,Hidalgo,10010,
2008,Durango,Indé,10011,
2008,Durango,Lerdo,10012,
2008,Durango,Mapimí,10013,
2008,Durango,Mezquital,10014,
2008,Durango,Nazas,10015,
2008,Durango,Nombre de Dios,10016,
2008,Durango,Ocampo,10017,
2008,Durango,El Oro,10018,
2008,Durango,Otáez,10019,
2008,Durango,Pánuco de Coronado,10020,
2008,Durango,Peñón Blanco,10021,
2008,Durango,Poanas,10022,
2008,Durango,Pueblo Nuevo,10023,
2008,Durango,Rodeo,10024,
2008,Durango,San Bernardo,10025,
2008,Durango,San Dimas,10026,
2008,Durango,San Juan de Guadalupe,10027,
2008,Durango,San Juan del Río,10028,
2008,Durango,San Luis del Cordero,10029,
2008,Durango,San Pedro del Gallo,10030,
2008,Durango,Santa Clara,10031,
2008,Durango,Santiago Papasquiaro,10032,
2008,Durango,Súchil,10033,
2008,Durango,Tamazula,10034,
2008,Durango,Tepehuanes,10035,
2008,Durango,Tlahualilo,10036,
2008,Durango,Topia,10037,
2008,Durango,Vicente Guerrero,10038,
2008,Durango,Nuevo Ideal,10039,
2008,Guanajuato,,11,48.65456594
2008,Guanajuato,Abasolo,11001,
2008,Guanajuato,Acámbaro,11002,
2008,Guanajuato,San Miguel de Allende,11003,
2008,Guanajuato,Apaseo el Alto,11004,
2008,Guanajuato,Apaseo el Grande,11005,
2008,Guanajuato,Atarjea,11006,
2008,Guanajuato,Celaya,11007,
2008,Guanajuato,Manuel Doblado,11008,
2008,Guanajuato,Comonfort,11009,
2008,Guanajuato,Coroneo,11010,
2008,Guanajuato,Cortazar,11011,
2008,Guanajuato,Cuerámaro,11012,
2008,Guanajuato,Doctor Mora,11013,
2008,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,11014,
2008,Guanajuato,Guanajuato,11015,
2008,Guanajuato,Huanímaro,11016,
2008,Guanajuato,Irapuato,11017,
2008,Guanajuato,Jaral del Progreso,11018,
2008,Guanajuato,Jerécuaro,11019,
2008,Guanajuato,León,11020,
2008,Guanajuato,Moroleón,11021,
2008,Guanajuato,Ocampo,11022,
2008,Guanajuato,Pénjamo,11023,
2008,Guanajuato,Pueblo Nuevo,11024,
2008,Guanajuato,Purísima del Rincón,11025,
2008,Guanajuato,Romita,11026,
2008,Guanajuato,Salamanca,11027,
2008,Guanajuato,Salvatierra,11028,
2008,Guanajuato,San Diego de la Unión,11029,
2008,Guanajuato,San Felipe,11030,
2008,Guanajuato,San Francisco del Rincón,11031,
2008,Guanajuato,San José Iturbide,11032,
2008,Guanajuato,San Luis de la Paz,11033,
2008,Guanajuato,Santa Catarina,11034,
2008,Guanajuato,Santa Cruz de Juventino Rosas,11035,
2008,Guanajuato,Santiago Maravatío,11036,
2008,Guanajuato,Silao de la Victoria,11037,
2008,Guanajuato,Tarandacuao,11038,
2008,Guanajuato,Tarimoro,11039,
2008,Guanajuato,Tierra Blanca,11040,
2008,Guanajuato,Uriangato,11041,
2008,Guanajuato,Valle de Santiago,11042,
2008,Guanajuato,Victoria,11043,
2008,Guanajuato,Villagrán,11044,
2008,Guanajuato,Xichú,11045,
2008,Guanajuato,Yuriria,11046,
2008,Guerrero,,12,70.43622663
2008,Guerrero,Acapulco de Juárez,12001,
2008,Guerrero,Ahuacuotzingo,12002,
2008,Guerrero,Ajuchitlán del Progreso,12003,
2008,Guerrero,Alcozauca de Guerrero,12004,
2008,Guerrero,Alpoyeca,12005,
2008,Guerrero,Apaxtla,12006,
2008,Guerrero,Arcelia,12007,
2008,Guerrero,Atenango del Río,12008,
2008,Guerrero,Atlamajalcingo del Monte,12009,
2008,Guerrero,Atlixtac,12010,
2008,Guerrero,Atoyac de Álvarez,12011,
2008,Guerrero,Ayutla de los Libres,12012,
2008,Guerrero,Azoyú,12013,
2008,Guerrero,Benito Juárez,12014,
2008,Guerrero,Buenavista de Cuéllar,12015,
2008,Guerrero,Coahuayutla de José María Izazaga,12016,
2008,Guerrero,Cocula,12017,
2008,Guerrero,Copala,12018,
2008,Guerrero,Copalillo,12019,
2008,Guerrero,Copanatoyac,12020,
2008,Guerrero,Coyuca de Benítez,12021,
2008,Guerrero,Coyuca de Catalán,12022,
2008,Guerrero,Cuajinicuilapa,12023,
2008,Guerrero,Cualác,12024,
2008,Guerrero,Cuautepec,12025,
2008,Guerrero,Cuetzala del Progreso,12026,
2008,Guerrero,Cutzamala de Pinzón,12027,
2008,Guerrero,Chilapa de Álvarez,12028,
2008,Guerrero,Chilpancingo de los Bravo,12029,
2008,Guerrero,Florencio Villarreal,12030,
2008,Guerrero,General Canuto A. Neri,12031,
2008,Guerrero,General Heliodoro Castillo,12032,
2008,Guerrero,Huamuxtitlán,12033,
2008,Guerrero,Huitzuco de los Figueroa,12034,
2008,Guerrero,Iguala de la Independencia,12035,
2008,Guerrero,Igualapa,12036,
2008,Guerrero,Ixcateopan de Cuauhtémoc,12037,
2008,Guerrero,Zihuatanejo de Azueta,12038,
2008,Guerrero,Juan R. Escudero,12039,
2008,Guerrero,Leonardo Bravo,12040,
2008,Guerrero,Malinaltepec,12041,
2008,Guerrero,Mártir de Cuilapan,12042,
2008,Guerrero,Metlatónoc,12043,
2008,Guerrero,Mochitlán,12044,
2008,Guerrero,Olinalá,12045,
2008,Guerrero,Ometepec,12046,
2008,Guerrero,Pedro Ascencio Alquisiras,12047,
2008,Guerrero,Petatlán,12048,
2008,Guerrero,Pilcaya,12049,
2008,Guerrero,Pungarabato,12050,
2008,Guerrero,Quechultenango,12051,
2008,Guerrero,San Luis Acatlán,12052,
2008,Guerrero,San Marcos,12053,
2008,Guerrero,San Miguel Totolapan,12054,
2008,Guerrero,Taxco de Alarcón,12055,
2008,Guerrero,Tecoanapa,12056,
2008,Guerrero,Técpan de Galeana,12057,
2008,Guerrero,Teloloapan,12058,
2008,Guerrero,Tepecoacuilco de Trujano,12059,
2008,Guerrero,Tetipac,12060,
2008,Guerrero,Tixtla de Guerrero,12061,
2008,Guerrero,Tlacoachistlahuaca,12062,
2008,Guerrero,Tlacoapa,12063,
2008,Guerrero,Tlalchapa,12064,
2008,Guerrero,Tlalixtaquilla de Maldonado,12065,
2008,Guerrero,Tlapa de Comonfort,12066,
2008,Guerrero,Tlapehuala,12067,
2008,Guerrero,La Unión de Isidoro Montes de Oca,12068,
2008,Guerrero,Xalpatláhuac,12069,
2008,Guerrero,Xochihuehuetlán,12070,
2008,Guerrero,Xochistlahuaca,12071,
2008,Guerrero,Zapotitlán Tablas,12072,
2008,Guerrero,Zirándaro,12073,
2008,Guerrero,Zitlala,12074,
2008,Guerrero,Eduardo Neri,12075,
2008,Guerrero,Acatepec,12076,
2008,Guerrero,Marquelia,12077,
2008,Guerrero,Cochoapa el Grande,12078,
2008,Guerrero,José Joaquín de Herrera,12079,
2008,Guerrero,Juchitán,12080,
2008,Guerrero,Iliatenco,12081,
2008,Hidalgo,,13,58.6104203
2008,Hidalgo,Acatlán,13001,
2008,Hidalgo,Acaxochitlán,13002,
2008,Hidalgo,Actopan,13003,
2008,Hidalgo,Agua Blanca de Iturbide,13004,
2008,Hidalgo,Ajacuba,13005,
2008,Hidalgo,Alfajayucan,13006,
2008,Hidalgo,Almoloya,13007,
2008,Hidalgo,Apan,13008,
2008,Hidalgo,El Arenal,13009,
2008,Hidalgo,Atitalaquia,13010,
2008,Hidalgo,Atlapexco,13011,
2008,Hidalgo,Atotonilco el Grande,13012,
2008,Hidalgo,Atotonilco de Tula,13013,
2008,Hidalgo,Calnali,13014,
2008,Hidalgo,Cardonal,13015,
2008,Hidalgo,Cuautepec de Hinojosa,13016,
2008,Hidalgo,Chapantongo,13017,
2008,Hidalgo,Chapulhuacán,13018,
2008,Hidalgo,Chilcuautla,13019,
2008,Hidalgo,Eloxochitlán,13020,
2008,Hidalgo,Emiliano Zapata,13021,
2008,Hidalgo,Epazoyucan,13022,
2008,Hidalgo,Francisco I. Madero,13023,
2008,Hidalgo,Huasca de Ocampo,13024,
2008,Hidalgo,Huautla,13025,
2008,Hidalgo,Huazalingo,13026,
2008,Hidalgo,Huehuetla,13027,
2008,Hidalgo,Huejutla de Reyes,13028,
2008,Hidalgo,Huichapan,13029,
2008,Hidalgo,Ixmiquilpan,13030,
2008,Hidalgo,Jacala de Ledezma,13031,
2008,Hidalgo,Jaltocán,13032,
2008,Hidalgo,Juárez Hidalgo,13033,
2008,Hidalgo,Lolotla,13034,
2008,Hidalgo,Metepec,13035,
2008,Hidalgo,San Agustín Metzquititlán,13036,
2008,Hidalgo,Metztitlán,13037,
2008,Hidalgo,Mineral del Chico,13038,
2008,Hidalgo,Mineral del Monte,13039,
2008,Hidalgo,La Misión,13040,
2008,Hidalgo,Mixquiahuala de Juárez,13041,
2008,Hidalgo,Molango de Escamilla,13042,
2008,Hidalgo,Nicolás Flores,13043,
2008,Hidalgo,Nopala de Villagrán,13044,
2008,Hidalgo,Omitlán de Juárez,13045,
2008,Hidalgo,San Felipe Orizatlán,13046,
2008,Hidalgo,Pacula,13047,
2008,Hidalgo,Pachuca de Soto,13048,
2008,Hidalgo,Pisaflores,13049,
2008,Hidalgo,Progreso de Obregón,13050,
2008,Hidalgo,Mineral de la Reforma,13051,
2008,Hidalgo,San Agustín Tlaxiaca,13052,
2008,Hidalgo,San Bartolo Tutotepec,13053,
2008,Hidalgo,San Salvador,13054,
2008,Hidalgo,Santiago de Anaya,13055,
2008,Hidalgo,Santiago Tulantepec de Lugo Guerrero,13056,
2008,Hidalgo,Singuilucan,13057,
2008,Hidalgo,Tasquillo,13058,
2008,Hidalgo,Tecozautla,13059,
2008,Hidalgo,Tenango de Doria,13060,
2008,Hidalgo,Tepeapulco,13061,
2008,Hidalgo,Tepehuacán de Guerrero,13062,
2008,Hidalgo,Tepeji del Río de Ocampo,13063,
2008,Hidalgo,Tepetitlán,13064,
2008,Hidalgo,Tetepango,13065,
2008,Hidalgo,Villa de Tezontepec,13066,
2008,Hidalgo,Tezontepec de Aldama,13067,
2008,Hidalgo,Tianguistengo,13068,
2008,Hidalgo,Tizayuca,13069,
2008,Hidalgo,Tlahuelilpan,13070,
2008,Hidalgo,Tlahuiltepa,13071,
2008,Hidalgo,Tlanalapa,13072,
2008,Hidalgo,Tlanchinol,13073,
2008,Hidalgo,Tlaxcoapan,13074,
2008,Hidalgo,Tolcayuca,13075,
2008,Hidalgo,Tula de Allende,13076,
2008,Hidalgo,Tulancingo de Bravo,13077,
2008,Hidalgo,Xochiatipan,13078,
2008,Hidalgo,Xochicoatlán,13079,
2008,Hidalgo,Yahualica,13080,
2008,Hidalgo,Zacualtipán de Ángeles,13081,
2008,Hidalgo,Zapotlán de Juárez,13082,
2008,Hidalgo,Zempoala,13083,
2008,Hidalgo,Zimapán,13084,
2008,Jalisco,,14,42.0137589
2008,Jalisco,Acatic,14001,
2008,Jalisco,Acatlán de Juárez,14002,
2008,Jalisco,Ahualulco de Mercado,14003,
2008,Jalisco,Amacueca,14004,
2008,Jalisco,Amatitán,14005,
2008,Jalisco,Ameca,14006,
2008,Jalisco,San Juanito de Escobedo,14007,
2008,Jalisco,Arandas,14008,
2008,Jalisco,El Arenal,14009,
2008,Jalisco,Atemajac de Brizuela,14010,
2008,Jalisco,Atengo,14011,
2008,Jalisco,Atenguillo,14012,
2008,Jalisco,Atotonilco el Alto,14013,
2008,Jalisco,Atoyac,14014,
2008,Jalisco,Autlán de Navarro,14015,
2008,Jalisco,Ayotlán,14016,
2008,Jalisco,Ayutla,14017,
2008,Jalisco,La Barca,14018,
2008,Jalisco,Bolaños,14019,
2008,Jalisco,Cabo Corrientes,14020,
2008,Jalisco,Casimiro Castillo,14021,
2008,Jalisco,Cihuatlán,14022,
2008,Jalisco,Zapotlán el Grande,14023,
2008,Jalisco,Cocula,14024,
2008,Jalisco,Colotlán,14025,
2008,Jalisco,Concepción de Buenos Aires,14026,
2008,Jalisco,Cuautitlán de García Barragán,14027,
2008,Jalisco,Cuautla,14028,
2008,Jalisco,Cuquío,14029,
2008,Jalisco,Chapala,14030,
2008,Jalisco,Chimaltitán,14031,
2008,Jalisco,Chiquilistlán,14032,
2008,Jalisco,Degollado,14033,
2008,Jalisco,Ejutla,14034,
2008,Jalisco,Encarnación de Díaz,14035,
2008,Jalisco,Etzatlán,14036,
2008,Jalisco,El Grullo,14037,
2008,Jalisco,Guachinango,14038,
2008,Jalisco,Guadalajara,14039,
2008,Jalisco,Hostotipaquillo,14040,
2008,Jalisco,Huejúcar,14041,
2008,Jalisco,Huejuquilla el Alto,14042,
2008,Jalisco,La Huerta,14043,
2008,Jalisco,Ixtlahuacán de los Membrillos,14044,
2008,Jalisco,Ixtlahuacán del Río,14045,
2008,Jalisco,Jalostotitlán,14046,
2008,Jalisco,Jamay,14047,
2008,Jalisco,Jesús María,14048,
2008,Jalisco,Jilotlán de los Dolores,14049,
2008,Jalisco,Jocotepec,14050,
2008,Jalisco,Juanacatlán,14051,
2008,Jalisco,Juchitlán,14052,
2008,Jalisco,Lagos de Moreno,14053,
2008,Jalisco,El Limón,14054,
2008,Jalisco,Magdalena,14055,
2008,Jalisco,Santa María del Oro,14056,
2008,Jalisco,La Manzanilla de la Paz,14057,
2008,Jalisco,Mascota,14058,
2008,Jalisco,Mazamitla,14059,
2008,Jalisco,Mexticacán,14060,
2008,Jalisco,Mezquitic,14061,
2008,Jalisco,Mixtlán,14062,
2008,Jalisco,Ocotlán,14063,
2008,Jalisco,Ojuelos de Jalisco,14064,
2008,Jalisco,Pihuamo,14065,
2008,Jalisco,Poncitlán,14066,
2008,Jalisco,Puerto Vallarta,14067,
2008,Jalisco,Villa Purificación,14068,
2008,Jalisco,Quitupan,14069,
2008,Jalisco,El Salto,14070,
2008,Jalisco,San Cristóbal de la Barranca,14071,
2008,Jalisco,San Diego de Alejandría,14072,
2008,Jalisco,San Juan de los Lagos,14073,
2008,Jalisco,San Julián,14074,
2008,Jalisco,San Marcos,14075,
2008,Jalisco,San Martín de Bolaños,14076,
2008,Jalisco,San Martín Hidalgo,14077,
2008,Jalisco,San Miguel el Alto,14078,
2008,Jalisco,Gómez Farías,14079,
2008,Jalisco,San Sebastián del Oeste,14080,
2008,Jalisco,Santa María de los Ángeles,14081,
2008,Jalisco,Sayula,14082,
2008,Jalisco,Tala,14083,
2008,Jalisco,Talpa de Allende,14084,
2008,Jalisco,Tamazula de Gordiano,14085,
2008,Jalisco,Tapalpa,14086,
2008,Jalisco,Tecalitlán,14087,
2008,Jalisco,Tecolotlán,14088,
2008,Jalisco,Techaluta de Montenegro,14089,
2008,Jalisco,Tenamaxtlán,14090,
2008,Jalisco,Teocaltiche,14091,
2008,Jalisco,Teocuitatlán de Corona,14092,
